company,location,country,industry,date,year,month,total_laid_off,percentage_laid_off,has_count,city,is_estimated
Cashfree Payments,Bengaluru,India,Finance,2023-01-12,2023.0,2023-01,100.0,,True,Bengaluru,False
CoinDCX,Mumbai,India,Crypto,2023-01-11,2023.0,2023-01,80.0,,True,Mumbai,False
LEAD,Mumbai,India,Education,2023-01-10,2023.0,2023-01,60.0,,True,Mumbai,False
Relevel,Bengaluru,India,HR,2023-01-10,2023.0,2023-01,40.0,0.2,True,Bengaluru,False
Bounce,Bengaluru,India,Transportation,2023-01-06,2023.0,2023-01,40.0,0.05,True,Bengaluru,False
UpScalio,Gurugram,India,Retail,2023-01-05,2023.0,2023-01,25.0,0.15,True,Gurugram,False
Harappa,New Delhi,India,Education,2023-01-03,2023.0,2023-01,60.0,0.3,True,New Delhi,False
PharmEasy,Mumbai,India,Healthcare,,,,50.0,,False,Mumbai,True
Swiggy,Bengaluru,India,Food,2022-12-08,2022.0,2022-12,250.0,0.03,True,Bengaluru,False
Vedantu,Bengaluru,India,Education,2022-12-07,2022.0,2022-12,385.0,,True,Bengaluru,False
OYO,Gurugram,India,Travel,2022-12-03,2022.0,2022-12,600.0,,True,Gurugram,False
HealthifyMe,Bengaluru,India,Fitness,2022-12-03,2022.0,2022-12,150.0,,True,Bengaluru,False
ShareChat,Bengaluru,India,Consumer,2022-12-02,2022.0,2022-12,100.0,,True,Bengaluru,False
Teachmint,Bengaluru,India,Education,2022-11-30,2022.0,2022-11,45.0,0.05,True,Bengaluru,False
Hirect,Bengaluru,India,Recruiting,2022-11-28,2022.0,2022-11,200.0,0.4,True,Bengaluru,False
VerSe Innovation,Bengaluru,India,Media,2022-11-25,2022.0,2022-11,150.0,0.05,True,Bengaluru,False
Zomato,Gurugram,India,Food,2022-11-19,2022.0,2022-11,100.0,0.04,True,Gurugram,False
Plum,Bengaluru,India,Healthcare,2022-11-09,2022.0,2022-11,36.0,0.1,True,Bengaluru,False
HighRadius,Bengaluru,India,Finance,2022-11-09,2022.0,2022-11,25.0,,True,Bengaluru,False
Unacademy,Bengaluru,India,Education,2022-11-07,2022.0,2022-11,350.0,0.1,True,Bengaluru,False
Practically,Hyderabad,India,Education,2022-11-06,2022.0,2022-11,147.0,,False,Hyderabad,True
Udaan,Bengaluru,India,Retail,2022-11-04,2022.0,2022-11,350.0,,True,Bengaluru,False
Dukaan,Bengaluru,India,Retail,2022-10-31,2022.0,2022-10,23.0,,True,Bengaluru,False
Doubtnut,Gurugram,India,Education,2022-10-01,2022.0,2022-10,3.0,0.3,True,Gurugram,False
GoNuts,Mumbai,India,Media,2022-10-07,2022.0,2022-10,2.0,1.0,True,Mumbai,False
Synapsica,New Delhi,India,Healthcare,2022-10-21,2022.0,2022-10,30.0,0.3,True,New Delhi,False
Qin1,Noida,India,Education,2022-10-04,2022.0,2022-10,483.0,1.0,False,Noida,True
Byju's,Bengaluru,India,Education,2022-10-12,2022.0,2022-10,2500.0,0.05,True,Bengaluru,False
